group_id,kind,module,representative_path,item_count,pending_count,priority,sample_item_ids,review_scope
GRP-00001,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/big/globe16.png,1,1,MEDIUM,PLD-6035E0E6A7468E61,review the file or asset and confirm whether the delta is user-visible or distributable
GRP-00002,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/big/globe24.png,1,1,MEDIUM,PLD-4106C105A59D560B,review the file or asset and confirm whether the delta is user-visible or distributable
GRP-00003,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/ribbon/application-pdf.png,1,1,MEDIUM,PLD-BC36919E80489F47,review the file or asset and confirm whether the delta is user-visible or distributable
GRP-00004,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/ribbon/delete-link.png,1,1,MEDIUM,PLD-80AB5995B41A31F3,review the file or asset and confirm whether the delta is user-visible or distributable
GRP-00005,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/ribbon/document-close-4.png,1,1,MEDIUM,PLD-3E4F0557588C618D,review the file or asset and confirm whether the delta is user-visible or distributable
GRP-00006,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/ribbon/document-multiple.png,1,1,MEDIUM,PLD-4E0A39D70A70997A,review the file or asset and confirm whether the delta is user-visible or distributable
GRP-00007,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/ribbon/document-new-6.png,1,1,MEDIUM,PLD-1FD95DB1E9618C90,review the file or asset and confirm whether the delta is user-visible or distributable
GRP-00008,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/ribbon/document-open-7.png,1,1,MEDIUM,PLD-DEC8CE3E5DFC4D56,review the file or asset and confirm whether the delta is user-visible or distributable
GRP-00009,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/ribbon/document-preview.png,1,1,MEDIUM,PLD-29FC28AA2300B863,review the file or asset and confirm whether the delta is user-visible or distributable
GRP-00010,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/ribbon/document-print-5.png,1,1,MEDIUM,PLD-3391207F7538A620,review the file or asset and confirm whether the delta is user-visible or distributable
GRP-00011,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/ribbon/document-save-5.png,1,1,MEDIUM,PLD-CBF3F80924EDA70A,review the file or asset and confirm whether the delta is user-visible or distributable
GRP-00012,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/ribbon/document-save-all.png,1,1,MEDIUM,PLD-0C9DD2F321A4319F,review the file or asset and confirm whether the delta is user-visible or distributable
GRP-00013,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/ribbon/document-save-as-5.png,1,1,MEDIUM,PLD-5372A8BEEACA0846,review the file or asset and confirm whether the delta is user-visible or distributable
GRP-00014,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/ribbon/edit-copy-6.png,1,1,MEDIUM,PLD-0D869F36AF415052,review the file or asset and confirm whether the delta is user-visible or distributable
GRP-00015,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/ribbon/edit-cut-6.png,1,1,MEDIUM,PLD-05B94BA887D95FAF,review the file or asset and confirm whether the delta is user-visible or distributable
GRP-00016,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/ribbon/edit-delete-shred.png,1,1,MEDIUM,PLD-0221AB38FFFE8305,review the file or asset and confirm whether the delta is user-visible or distributable
GRP-00017,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/ribbon/edit-find-7.png,1,1,MEDIUM,PLD-DAA356D3CCCB7246,review the file or asset and confirm whether the delta is user-visible or distributable
GRP-00018,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/ribbon/edit-paste-6.png,1,1,MEDIUM,PLD-FFD3FA4FA209E1E0,review the file or asset and confirm whether the delta is user-visible or distributable
GRP-00019,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/ribbon/format-indent-less-5.png,1,1,MEDIUM,PLD-A703E11E1181E47A,review the file or asset and confirm whether the delta is user-visible or distributable
GRP-00020,ASSET,projectlibre_ui,modules/projectlibre_ui/src/main/resources/com/projectlibre1/pm/graphic/images/ribbon/format-indent-more-5.png,1,1,MEDIUM,PLD-13967F440D0DB5BF,review the file or asset and confirm whether the delta is user-visible or distributable
